complete_address,city,price_total,price,rent,sqm,is_furnished,coords
"ul. Karola Szymanowskiego 44, Zagórze Północ, Sosnowiec, śląskie","Sosnowiec, śląskie",2000.0,2000.0,,42,True,"(50.271229500000004, 19.215561953947084)"
"ul. Haliny Krahelskiej, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",1750.0,1500.0,250.0,19,True,"(50.2598987, 19.0215852)"
"ul. Beskidzka, Chorzów II, Chorzów, śląskie","Chorzów, śląskie",2298.0,1499.0,799.0,55,True,"(50.288556299999996, 18.97044253093511)"
"ul. Graniczna, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",1401.0,1400.0,1.0,31,False,"(50.2598987, 19.0215852)"
"1000 lecia, Brodway, Gołonóg Północny, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2200.0,1500.0,700.0,50,False,"(50.369624, 19.289046489684473)"
"ul. rtm. Witolda Pileckiego, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",2415.0,1900.0,515.0,37,True,"(50.271229500000004, 19.215561953947084)"
"ul. Bytomska, Piekary Śląskie, śląskie","Piekary Śląskie, śląskie",850.0,850.0,,40,False,"(50.3840312, 18.9456429)"
"ul. Bohaterów Monte Cassino, Zawodzie, Katowice, śląskie","Katowice, śląskie",3200.0,2500.0,700.0,49,True,"(50.2598987, 19.0215852)"
"ul. Francuska, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",3150.0,2500.0,650.0,40,True,"(50.2598987, 19.0215852)"
"ul. Litewska, Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",2500.0,2500.0,,55,True,"(50.271229500000004, 19.215561953947084)"
"Szopienice-Burowiec, Katowice, śląskie","Katowice, śląskie",2161.0,1500.0,661.0,38,True,"(50.2664454, 19.0820843)"
"Śródmieście, Katowice, śląskie","Katowice, śląskie",2950.0,2400.0,550.0,45,True,"(50.259795, 19.0217063)"
"Zagórze Północ, Sosnowiec, śląskie","Sosnowiec, śląskie",2600.0,1800.0,800.0,45,True,"(50.271229500000004, 19.215561953947084)"
"ul. Gliwicka 13, Śródmieście, Bytom, śląskie","Bytom, śląskie",1860.0,1400.0,460.0,32,True,"(50.3470387, 18.9231857)"
