listing,listing,listing,listing,pricing,pricing,pricing,pricing,location,location,location,location,size,size,size,size,size,legal_and_availability,legal_and_availability,legal_and_availability,legal_and_availability,type_and_year,type_and_year,amenities,amenities,equipment,equipment,equipment,equipment,equipment,equipment,equipment,equipment,media_types,media_types,media_types,media_types,heating,heating,heating,heating,heating,heating,heating,security,security,security,security,security,security,security,windows,windows,windows,windows,building_material,building_material,building_material,building_material,building_material,building_material,building_material,building_material,building_material,building_material,building_material,additional_information,additional_information,additional_information,additional_information,additional_information,additional_information,additional_information
link,title,summary_description,remote_service,price,rent,total_rent,deposit,complete_address,street,city,voivodeship,square_meters,number_of_rooms,floor,attic,building_floors,available_from,completion,ownership,rent_to_students,building_type,build_year,elevator,parking_space,no_information,stove,fridge,furniture,oven,washing_machine,TV,dishwasher,no_information,internet,telephone,cable_TV,no_information,electric,gas,other,boiler_room,district,tile_stove,no_information,intercom_or_video_intercom,anti_burglary_doors_or_windows,monitoring_or_security,anti_burglary_roller_blinds,alarm_system,enclosed_area,aluminum,no_information,wooden,plastic,concrete,aerated_concrete,no_information,brick,wood,other,lightweight_aggregate,hollow_brick,silicate,large_panel,reinforced_concrete,no_information,duplex,air_conditioning,separate_kitchen,basement,utility_room,non_smokers_only
https://www.otodom.pl/pl/oferta/mieszkania-2-pokojowe-cena-z-ogrzewaniem-ID4nxMC,Mieszkania 2 pokojowe cena z ogrzewaniem,"Do wynajęcia 6 mieszkań o powierzchni od 42-58 m², zlokalizowane na ulicy Szymanowskiego 44 w Sosnowcu. Mieszkania usytuowane w domu wielorodzinnym w cichej okolicy domów jednorodzinnych,

Mieszkania 1 42 m2 parter - wolne
Mieszkanie 2 58 m2 parter - wynajęte
Mieszkanie 3 42 m2 I piętro - wynajęte
Mieszkanie 4 58 m2 I piętro - wynajęte
Mieszkanie 5 55 m2 II piętro - wolne
Mieszkanie 6 54 m2 II piętro - wolne

Mieszkanie składa się z następujących pomieszczeń:
Sypialnia: Przestronna sypialnia zapewniająca komfortowy sen. Znajdziesz tu także dużą szafę w zabudowie,.
Salon z jadalnią: Salon jest przestronny i pełen naturalnego światła, co tworzy przyjemną atmosferę do wypoczynku. Z jadalnią oraz otwartą kuchnią, to idealne miejsce do spotkań z rodziną i przyjaciółmi.
Kuchnia: Kuchnia utrzymana jest w nowoczesnym stylu i wyposażona w podstawowe urządzenia. Znajdziesz tu płytę elektryczną, lodówkę, mikrofalówkę .
Łazienka: Mieszkanie posiada również elegancką łazienkę z kabiną prysznicową, umywalka, szafka z lustrem , pralka oraz toaleta.
Teren wokół domu jest ogrodzony, można na posesji w części utwardzonego podjazdu kostką parkować samochód, jest możliwość wynajęcia garażu!!!.
Ogród posiada teren zielony wyposażony w gril, komplet wypoczynkowy oraz plac zabaw dla dzieci gdzie można spędzać wspólnie czas w gronie znajomych i rodziny.
Mieszkanie zostało niedawno poddane odświeżeniu, dzięki czemu prezentuje się bardzo ładnie. Wszystkie pomieszczenia są urządzone w taki sposób, aby zapewnić harmonię i spokój, co sprawia, że mieszkanie jest idealnym miejscem do relaksu.
Opłaty miesięczne:
Czynsz 2000.00 - 2500.00-
Ogrzewanie 200.00 - 250.00 płatne w sezonie grzewczym
Prąd według zużycia (na podstawie wskazań licznika)
Woda oraz ścieki według zużycia (na podstawie wskazań licznika)
Internet w cenie czynszu

Wymagana jest dwumiesięczna kaucja.

Ta oferta to doskonała okazja dla osób poszukujących komfortowe miejsce do życia. W okolicy masz dostęp do wszystkich ważnych udogodnień i atrakcji w zasięgu ręki markety, restauracje, szkoły, przychodnie. Do najbliższego przystanku komunikacji publicznej można dotrzeć w krótkim czasie, co umożliwia wygodne podróżowanie do pracy, szkoły czy na zakupy.
Nie przegap tej okazji i skontaktuj się z nami, aby umówić się na oglądanie tego wyjątkowego mieszkania.",unspecified,2000.0,,,4000.0,"ul. Karola Szymanowskiego 44, Zagórze Północ, Sosnowiec, śląskie",ul. Karola Szymanowskiego 44,Sosnowiec,śląskie,42,2,0,False,2,,ready_to_move_in,private,,detached_house,,False,True,False,True,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False
https://www.otodom.pl/pl/oferta/kawalerka-w-katowicach-do-wynajecia-od-zaraz-ID4o5t7,Kawalerka w Katowicach do wynajęcia od zaraz,"Nowe, (2018), komfortowe, jasne, w pełni wyposażone mieszkanie 1 pokój z aneksemkuchennym,Wyposażenie: w pokoju rozkładana kanapa 2 osobowa, wbudowana szafa ubraniowa,komoda, telewizor, kuchnia (lodówka, zmywarka, płyta indukcyjna 2 palnikowa, stolikjadalny dla 2 osób), łazienka (pralka, kabina prysznicowa, WC, szafki łazienkowe). Oknaplastikowe z roletami, balkon dwustronny. Ogrzewanie podłogowe, gazoweMożliwość podłączenia TV, internetu.Lokalizacja : mieszkanie w bardzo dobrej lokalizacji (100 m do przystanku autobusowego,250m do przystanku tramwajowego), w bezpośrednim sąsiedztwie katowickich uczelni, 300mdo Politechniki Śląskiej, 500m do Akademii Muzycznej, 2 przystanki tramwajem doUniwersytetu Ekonomicznego i Uniwersytetu Śląskiego.Sklepy, usługi - szeroka oferta usługowa, restauracje liczne sklepy, Biedronka, Aldi, Żabki",unspecified,1500.0,250.0,1750.0,1500.0,"ul. Haliny Krahelskiej, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",ul. Haliny Krahelskiej,Katowice,śląskie,19,1,3,False,3,,ready_to_move_in,private,True,apartment_building,2018.0,False,True,False,True,True,True,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
https://www.otodom.pl/pl/oferta/mam-do-wynajecia-mieszkanie-bezposrednio-ID4o1lC,Mam do wynajęcia mieszkanie Bezpośrednio !,"Witam.Mam do wynajęcia mieszkanie w Chorzowie, ul. Beskidzka 5 ( niski blok, zamknięty teren, brama na pilota )Mieszkanie składa się z 2 pokoi, kuchni w aneksie i łazienki, łącznie 55m². Do mieszkania przynależy miejsce postojowe, garaż oraz komórka lokatorska.Ekspozycja okien - wschód.Czynsz/odstępne: 1.499złOpłaty administracyjne: 799złZaliczka za media: 450zł ( rozliczna zo 6 m-cy wg faktycznego zużycia )Miejsce postojowe: 100zł

Łącznie opłaty miesięcznie wynoszą: 2.850zł Kaucja: 4.500złMieszkanie będzie wolne od 02.01.2024r.W pełni umeblowane i wykończone. Wystawiam faktury Vat.Zapraszam do kontaktu.",,1499.0,799.0,2298.0,4500.0,"ul. Beskidzka, Chorzów II, Chorzów, śląskie",ul. Beskidzka,Chorzów,śląskie,55,2,0,False,2,,ready_to_move_in,private,True,block_of_flats,2004.0,False,True,False,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
https://www.otodom.pl/pl/oferta/kawalerka-os-paderewskiego-ID4o7en,Kawalerka os. Paderewskiego,"Oferujemy do wynajęcia przytulną kawalerkę zlokalizowaną na cichym i zielonym osiedlu Paderewskiego w Katowicach. Lokal położony jest na 10 piętrze w budynku 10 piętrowym z windą i składa się z widnej kuchni w zabudowie wraz ze sprzętem AGD, przestronnego i słonecznego pokoju z wyjściem na balkon, przedpokoju oraz łazienki z kabiną prysznicową razem z WC. Bardzo spokojne sąsiedztwo oraz doskonała lokalizacja - szybki dojazd do centrum zarówno środkami komunikacji miejskiej, jak i samochodem, w pobliżu liczne tereny rekreacyjne oraz centrum handlowe Trzy Stawy. Cena najmu: 1400,00zł + media ok.300zł ( woda, gaz, prąd, c.o, śmieci) + kaucja. Prowizja biura: jeden miesięczny czynsz najmu +VAT. Dodatkowe informacje: Joanna Jureczka kontakt: +48 602 707 358, Beata Obrok tel. 602 707 357. ZAPRASZAM DO OBEJRZENIA NIERUCHOMOŚCI! ----Więcej atrakcyjnych ofert apartamentów, domów i mieszkań do kupna i najmu,  znajdą Państwo na naszej stronie internetowej . colosseum. pl lub proszę wysłać zapytanie na adres  , a prześlemy pełną ofertę aktualnych nieruchomości. ----Pośrednik odpowiedzialny zawodowo nr 2679---- Treść ogłoszenia nie stanowi oferty handlowej w rozumieniu przepisów Kodeksu Cywilnego, ma jedynie charakter informacyjny. Zapewniamy miłą i fachową obsługę. We offer our services also in English",unspecified,1400.0,1.0,1401.0,1400.0,"ul. Graniczna, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",ul. Graniczna,Katowice,śląskie,31,1,10,False,10,,,real_estate_agency,,block_of_flats,,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
https://www.otodom.pl/pl/oferta/ul-1000-lecia-dabrowa-gornicza-golonog-50m2-2-pok-ID4n0op,ul.1000-lecia Dąbrowa Górnicza Gołonóg 50m2 2 pok,"Do wynajęcia mieszkanie 50m2 DąbrowaGórnicza Gołonóg ul.1000 lecia.Mieszkanie składa się z salonu z aneksem kuchennym,drugiego pokoju,łazienki,toalety.Pojemne dwie szafy zabudowane w przedpokoju.Mieszkanie częściowo umeblowane.Na wyposażeniu jest pralka,lodówka,płyta gazowa,piekarnik elektryczny,mikrofalówka.Kuchnia w zabudowie.Możliwość wstawienia łóżka do sypialni 160/200. Mieszkanie wewnętrzne ciepłe. W pobliżu przystanki autobusowe,tramwaj,sklepy,przedszkole,szkoły. Koszt najmu 1500,00zł. Czynsz 700,00zł plus media według zużycia.
W pobliżu Biedronka,Kaufland,ryneczek handlowy.",,1500.0,700.0,2200.0,2000.0,"1000 lecia, Brodway, Gołonóg Północny, Dąbrowa Górnicza, śląskie",1000 lecia,Dąbrowa Górnicza,śląskie,50,2,11,False,13,,ready_to_move_in,private,,block_of_flats,1980.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
https://www.otodom.pl/pl/oferta/sosowiec-centrum-niski-blok-aktualne-od-1styczen-ID4nyxl,Sosowiec centrum-niski blok. Aktualne od 1styczeń.,"Oferta bezpośrednio od właściciela.
Pośrednikom dziękuję.
Wynajmę mieszkanie w centrum Sosnowca w niskim bloku.
Adres : Witolda Pileckiego 10.
Mieszkanie w centrum, ale w cichej i zielonej okolicy z dala od zgiełku.
Powierzchnia użytkowa 37 m2.
Mieszkanie 5 lat temu po generalnym remoncie.

Preferowany najemca na dłuższy czas. Umowa minimum na rok.
Warunkiem wynajęcia jest wpłata kaucji zwrotnej w wysokości 5000 pln oraz podpisanie przez przyszłego najemcę u notariusza umowy najmu okazjonalnego lokalu mieszkalnego.
Mieszkanie jest obecnie wynajęte, obecny najemca opuści je na koniec grudnia 2023 - możliwość wprowadzenia od 1 stycznia 2024.

Całość opłat:
+/- 2535:
1900 - najem 
515 - obecny czynsz ( zmienia się on w zależności od opłaty za ogrzewanie i pobór wody +/- 100 pln ).
70 +/- prąd
50 +/- gaz
Płatność przelewem do 5 dnia każdego miesiąca. 

Z racji, że obecny najemca jest do końca roku w mieszkaniu, jeżeli chodzi o oglądanie mieszkania musimy dopasować się do wytycznych obecnego najemcy, tak aby mu nie uprzykrzać życia.

Zapraszam do kontaktu.",,1900.0,515.0,2415.0,5000.0,"ul. rtm. Witolda Pileckiego, Centrum / Śródmieście, Sosnowiec, śląskie",ul. rtm. Witolda Pileckiego,Sosnowiec,śląskie,37,2,3,False,3,,ready_to_move_in,private,,block_of_flats,1970.0,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
https://www.otodom.pl/pl/oferta/mieszkanie-40m2-piekary-slaskie-ul-bytomska-ID4o7c8,"Mieszkanie 40m^2 - Piekary Śląskie, ul.Bytomska","Mieszkanie 40m^2 - Piekary Śląskie, ul.Bytomska
- 1 pokój
- kuchnia
- przedpokój
- łazienka + WC
- Cena najmu - 850 zł
- ogrzewanie -  dodatkowo płatne: 400zł/miesiąc
- 2 piętro
- umowa na czas nieokreślony",,850.0,,,,"ul. Bytomska, Piekary Śląskie, śląskie",ul. Bytomska,Piekary Śląskie,śląskie,40,1,2,False,4,,ready_to_move_in,private,,historic_apartment_building,1900.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-wynajem-faktura-ID4nRfe,Przestronne mieszkanie na wynajem - faktura,"Na wynajem 3 pokojowe mieszkanie znajdujące się na 1/10  piętrze bloku położonego w Katowicach przy ulicy Bohaterów Monte Cassino 3 w dzielnicy Zawodzie. Nieruchomość o powierzchni 49,53 m2.Jest możliwość wystawienia Faktury dla firm. Mieszkanie w bardzo dobrze zadbane i przestronne. Składa się z wyposażonej sypialni z nowym materacem oraz z szafy w zabudowie, małego pokoju (biura lub sypialni), salonu z aneksem kuchennym z wyjściem na przestronny balkon oraz łazienki z wanną oraz nową pralką  i oddzielnej toalety. Kuchnia wyposażona w zmywarkę, piekarnik, lodówkę, zamrażalnik, płytę indukcyjną oraz podstawowe naczynia.W przedpokoju znajduje się pojemna szafa w zabudowie.Ściany zewnętrze bloku zostały kilka lat temu ocieplone, dzięki temu mieszkanie jest ciepłe. Klatka oraz winda są odnowione, wejście zabezpieczone domofonem. Wokół bloku znajdują się nie przydzielone miejsca postojowe.Bardzo atrakcyjna lokalizacja mieszkania. W odległości około 400 m znajduje się Uniwersytet Ekonomiczny, około 800 m jest do Akademii Muzycznej oraz Politechniki Śląskiej w Katowicach. Pod blokiem znajduje się piekarnia i sklep spożywczy. W pobliżu znajdują się przystanki autobusowe i tramwajowe.W odległości około 600 m znajduje się centrum handlowe, m. in. IKEA, Castorama oraz Carrefour. Niedaleko do centrum miasta oraz tras szybkiego ruchu.Cena wynajmu 2500 zł + dodatkowo płatny czynsz w kwocie ok 700 zł (w czynsz wliczona zaliczka na ogrzewanie oraz wodę i śmieci) + energia elektryczna.Zainteresowany? Skontaktuj się z nami pod numerem +48 799 350 796 lub napisz nam maila poprzez formularz kontaktowy dostępny w ogłoszeniu.Mieszkanie na wynajem 49,53m2 - dzielnica Zawodzie KATOWICE -- YouTube: s://youtu.be/sl_0bxc09co",video,2500.0,700.0,3200.0,,"ul. Bohaterów Monte Cassino, Zawodzie, Katowice, śląskie",ul. Bohaterów Monte Cassino,Katowice,śląskie,49,3,1,False,,,ready_to_move_in,real_estate_agency,,block_of_flats,1980.0,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-na-wynajem-10m2-loggia-ID4o4DB,Nowoczesne mieszkanie na wynajem - 10m2 loggia,"NOWOCZESNE MIESZKANIE NA WYNAJEM Z LOGGIĄ 10m2
Na wynajem nowoczesne dwupokojowe mieszkanie zaprojektowane przez architekta z dbałością o każdy szczegół estetyczny, jak również przemyślany pod kątem funkcjonalnym. Mieszkanie o powierzchni 40 m2 z loggią 10m2 zlokalizowane na osiedlu Francuska Park przy ulicy Francuskiej. W nieruchomości znajdziemy niezbędny sprzęt do codziennego funkcjonowania.
Mieszkanie znajduje się na 3 piętrze w nowoczesnym budynku z windą na zamkniętym osiedlu. Cały teren jest monitorowany, co zapewnia komfort i bezpieczeństwo mieszkańców. Osiedle oferuje także urokliwy dziedziniec z ławkami, placami zabaw w bardzo popularnej dzielnicy Paderewskiego-Muchowiec.
Mieszkanie składa się z:- Salonu z aneksem kuchennym i wyspą, stół jadalniany oraz wyjście na loggię,- Sypialni z dużą szafą i wygodnym łóżkiem,- Łazienki,- Przedpokoju z dużą szafą wnękową.
Do mieszkania przynależy także miejsce parkingowe zewnętrzne. Mieszkanie jest w pełni umeblowane w wysokim standardzie, wyposażone w dobrej jakości sprzęt AGD.
FINANSE:Czynsz administracyjny w wysokości 650 zł w tym zimna i ciepła woda miejska, kanalizacja, ogrzewanie miejskie, wywóz nieczystości, Dodatkowo płatny prąd, około 150 na 2 miesiące.
To wyjątkowa oferta, idealna dla osób poszukujących komfortowego i nowoczesnego mieszkania w ekskluzywnej lokalizacji.
Zainteresowany?Skontaktuj się z nami pod numerem +48 799 350 796 lub napisz nam maila poprzez formularz kontaktowy dostępny w ogłoszeniu.
Nowoczesne mieszkanie na wynajem - 40 m² + 10 m² loggia / Francuska Park, Katowice -- YouTube:",video,2500.0,650.0,3150.0,,"ul. Francuska, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",ul. Francuska,Katowice,śląskie,40,2,3,False,5,,ready_to_move_in,real_estate_agency,,block_of_flats,2021.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
