complete_address,city,price_total,price,rent,rent_sqm,sqm,is_furnished,coords
"ul. Janusza Korczaka, Reden-Adamiecki, Reden, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",1745.0,1350.0,395.0,44.74,39.0,True,"(50.330374, 19.1848234)"
"ul. Szybowcowa, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",5500.0,5500.0,,59.78,92.0,True,"(50.2576071, 19.0171456)"
"Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",2710.0,2100.0,610.0,55.31,49.0,False,"(50.2727182, 18.9824049)"
"ul. gen. Kazimierza Pułaskiego 27, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2657.0,2657.0,,88.57,30.0,True,"(50.2576071, 19.0171456)"
"ul. Ludwika Solskiego, Chorzów Batory, Chorzów, śląskie","Chorzów, śląskie",2420.0,2100.0,320.0,50.42,48.0,True,"(50.2537455, 18.9383126)"
"Miechowice, Bytom, śląskie","Bytom, śląskie",2100.0,2100.0,,52.5,40.0,True,"(50.36484175, 18.84313535683315)"
"ul. Piastów, Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",2700.0,1900.0,800.0,49.09,55.0,False,"(50.2576071, 19.0171456)"
"ul. Brata Alberta, Śródmieście, Katowice, śląskie","Katowice, śląskie",3119.0,2669.0,450.0,72.53,43.0,True,"(50.2576071, 19.0171456)"
"ul. Bohaterów Monte Cassino, Zagórze Południe, Sosnowiec, śląskie","Sosnowiec, śląskie",2048.0,1500.0,548.0,62.06,33.0,True,"(50.27895, 19.1263859)"
"ul. Fiołków, Śródmieście, Katowice, śląskie","Katowice, śląskie",2100.0,1500.0,600.0,60.0,35.0,True,"(50.2576071, 19.0171456)"
"ul. Władysława Orkana, Załęska Hałda-Brynów, Katowice, śląskie","Katowice, śląskie",2500.0,1700.0,800.0,49.02,51.0,True,"(50.2576071, 19.0171456)"
"Karb, Bytom, śląskie","Bytom, śląskie",900.0,900.0,,50.0,18.0,False,"(50.3532222, 18.8738944)"
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",3800.0,3800.0,,50.67,75.0,True,"(50.2576071, 19.0171456)"
"ul. Litewska, Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",1550.0,1000.0,550.0,41.89,37.0,True,"(50.27895, 19.1263859)"
"ul. Wita Stwosza, Śródmieście, Katowice, śląskie","Katowice, śląskie",3000.0,2300.0,700.0,52.63,57.0,True,"(50.2576071, 19.0171456)"
"Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",2200.0,2200.0,,20.0,110.0,True,"(50.2822072, 19.1189568)"
"ul. Złota, Dąb, Katowice, śląskie","Katowice, śląskie",3501.0,3500.0,1.0,58.35,60.0,True,"(50.2576071, 19.0171456)"
"Biskupa Tadeusza Szurmana, Ligota-Panewniki, Katowice, śląskie","Katowice, śląskie",2900.0,2500.0,400.0,74.36,39.0,True,"(50.2576071, 19.0171456)"
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",4301.0,4300.0,1.0,55.14,78.0,False,"(50.2576071, 19.0171456)"
"ul. Gawronów, Brynów-Osiedle Zgrzebnioka, Katowice, śląskie","Katowice, śląskie",4150.0,3800.0,350.0,71.55,58.0,True,"(50.2372807, 19.0043976)"
"ul. Michała Grażyńskiego, Koszutka, Katowice, śląskie","Katowice, śląskie",3400.0,3400.0,,52.31,65.0,True,"(50.2576071, 19.0171456)"
"Śródmieście, Katowice, śląskie","Katowice, śląskie",2000.0,2000.0,,66.67,30.0,False,"(50.25833455, 19.017152350000003)"
"ul. marsz. Józefa Piłsudskiego 42, Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",1590.0,1590.0,,31.18,51.0,False,"(50.27895, 19.1263859)"
"ul. Księcia Władysława Opolskiego, Centrum, Chorzów, śląskie","Chorzów, śląskie",2663.0,2200.0,463.0,57.89,46.0,True,"(50.2537455, 18.9383126)"
"śląska 17, Bańgów, Siemianowice Śląskie, śląskie","Siemianowice Śląskie, śląskie",1090.0,1090.0,,37.59,29.0,False,"(50.2987309, 19.035211)"
"ul. Warszawska 10, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",1090.0,1090.0,,37.59,29.0,False,"(50.27895, 19.1263859)"
"ul. Modrzejowska 26, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",1290.0,1290.0,,33.95,38.0,False,"(50.27895, 19.1263859)"
