link,title,location,price,summary_description,square_meters,rent,number_of_rooms,deposit,floor_level,building_type,available_from,balcony_garden_terrace,remote service,completion,ownership,rent_to_students,equipment,media_types,heating,security,windows,elevator,parking_space,build_year,building_material,additional_information
https://www.otodom.pl/pl/oferta/wynajme-2-pokojowe-mieszkanie-ID4k2It,wynajmę 2 pokojowe mieszkanie,"al. Józefa Piłsudskiego, Kasprzak, Gołonóg Południowy, Dąbrowa Górnicza, śląskie",1 600 zł,"Wynajmę 2 pokojowe mieszkanie o pow. 50 m2 w Dąbrowie Górniczej, dzielnica Gołonóg. Mieszkanie jest usytuowane na wysokim parterze 3 kondygnacyjnego budynku i składa się z 2 pokoi, oddzielnej kuchni, przedpokoju i łazienki. Ogrzewanie miejskie. Ciepła woda z junkersa. Bardzo dobra lokalizacja tuż przy przystankach autobusowym i tramwajowym. W pobliżu sklep Stokrotka i restauracja.Wyłącznie najem okazjonalny.
Kaucja 2000 złotych",50 m²,540 zł/miesiąc,2,2 000 zł,parter/3,blok,,,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,brak informacji,"lodówka, meble, piekarnik, kuchenka, pralka","telewizja kablowa, internet",miejskie,domofon / wideofon,plastikowe,nie,brak informacji,brak informacji,cegła,"piwnica, oddzielna kuchnia, pom. użytkowe"
https://www.otodom.pl/pl/oferta/centrum-sosnowca-1-pokoj-klimatyzacja-ID4oOtS,Centrum Sosnowca 1 pokój Klimatyzacja,"al. Zwycięstwa, Centrum / Śródmieście, Sosnowiec, śląskie",1 850 zł,"LOKALIZACJA:

Mieszkanie znajduje się w Sosnowcu, ul.Aleja Zwycięstwa na czwartym piętrze w pięciopiętrowym budynku. Lokalizacja jest świetna ponieważ jest to centrum miasta co sprawia, że komunikacja z miastami ościennymi jest dobra zarówno samochodem jak i komunikacja miejską. W okolicy znajdują się:
przystanki autobusowe i tramwajowe oraz Dworzec Główny,
punkty handlowe i usługowe, Sosnowiec City Plaza,
szkoła, przedszkole, żłobek, przychodnia, plac zabaw,
Park Sielecki oraz bulwary nad Przemszą.

UKŁAD POMIESZCZEŃ:
Mieszkanie o powierzchni 33m2 składa się z jednego pokoju, kuchni, łazienki z ubikacją oraz przedpokoju

STANDARD:
Mieszkanie klimatyzowane (!) przeszło remont w 2022 r. i jest w bardzo dobrym stanie. Na podłogach kafelki, nowe okna PCV. Blok po termomodernizacji klatka w bardzo dobrym stanie.

MEDIA:
-Centralne ogrzewanie
-Ciepła woda z bojlera
CZYNSZ: 450,00 zł + media (woda, prąd)

Umowa najmu okazjonalnego.",33 m²,450 zł/miesiąc,1,3 700 zł,4/5,kamienica,,balkon,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,brak informacji,"lodówka, meble, kuchenka, telewizor, pralka",brak informacji,miejskie,domofon / wideofon,drewniane,nie,brak informacji,1965,cegła,"klimatyzacja, tylko dla niepalących"
https://www.otodom.pl/pl/oferta/nowy-komfortowy-apartament-z-miejscem-parkingowym-ID4p2it,NOWY KOMFORTOWY APARTAMENT z miejscem parkingowym,"Zagórze Północ, Sosnowiec, śląskie",2 400 zł,"Wynajmę 2 pokojowe, komfortowe mieszkanie z dużym balkonem o wysokim standardzie,
pow. 45m2.  Usytuowane na 2 piętrze w nowoczesnym budynku z windą, w Sosnowcu ""APARTAMENTY PARK ZAGÓRSKI"", przy ul. R.Dmowskiego. Do mieszkania przynależne jest miejsce parkingowe.

Mieszkanie składa się z:
- salonu z aneksem kuchennym
- sypialni
- łazienki z wc
- przedpokoju
Wyposażone jest w garderobę,  kuchnię na wymiar  z nowym   sprzętem AGD w zabudowie  (płyta indukcyjna, piekarnik, okap,lodówka z zamrażalnikiem,zmywarka, pralka,TV)  oraz umeblowanym salonem (narożnik z funkcją spania) i sypialnią z dużym łożem małżeńskim oraz dużą szafą. (Cały sprzęt AGD jest nowy na gwarancji, jak również nowe jest wyposażenie mieszkania)

OPŁATY:
-najem  2.400zł
-dodatkowo płatny czynsz do Zarządcy  200 zł
-dodatkowo płatne media (woda,prąd, c.o)
-internet/tv umowa z dostawcą we wł.zakresie
Wymagana kaucja  3.000 zł

W bliskim sąsiedztwie zlokalizowane są: żłobek, przedszkole,szkoły, sklepy, przystanek autobusowy. Bliskość z drogami krajowymi A4, S1, 94,79. Apartamentowiec położony w zacisznym , kameralnym miejscu , tuż obok  Parku Zagórskiego.",45 m²,200 zł/miesiąc,2,3 000 zł,2/5,apartamentowiec,,balkon,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2022,cegła,tylko dla niepalących
https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-dabrowa-gornicza-ul-paryska-ID42iMi,Wynajmę Mieszkanie Dąbrowa Górnicza ul. Paryska,"Gołonóg, Gołonóg Północny, Dąbrowa Górnicza, śląskie",2 200 zł,"Do wynajęcia 2 pokojowe komfortowe mieszkanie o powierzchni 54 m2 z balkonem.

LOKALIZACJA:Mieszkanie znajduje się w Dąbrowie Górniczej w dzielnicy Centrum przy ul. Paryskiej . Doskonała lokalizacja blisko centrum handlowego Pogoria oraz parku Hallera , dworca PKP, PKS, Szkoły podstawowej, przychodni.

UKŁAD MIESZKANIA :
W mieszkaniu znajdują się 1 sypialnie, pokój dzienny, przestronna kuchnia oraz łazienka połączona z WC.  

Ogrzewanie centralnie z sieci miejskiej. 

KOSZTY:Cena najmu : 2200 zł  (w cenie najmu woda , CO oraz wywóz śmieci )Czynsz : 0 zł Kaucja: 3000 zł

Jeżeli mają Państwo jakiekolwiek pytania, proszę dzwonić pod numer telefonu 501553235",54 m²,,2,3 000 zł,,blok,,balkon,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka","telewizja kablowa, internet, telefon",miejskie,brak informacji,plastikowe,nie,brak informacji,brak informacji,brak informacji,"piwnica, oddzielna kuchnia"
https://www.otodom.pl/pl/oferta/apartanent-1-pietro-z-balkonem-i-parkingiem-ID4o7Xz,Apartanent-1 piętro z balkonem i parkingiem,"Pogoń, Sosnowiec, śląskie",2 500 zł,"Oferujemy do wynajmu apartament o wysokim standardzie w pełni wyposażony i umeblowany zlokalizowany w Sosnowcu dzielnica Pogoń.Apartament o pow. 50 m2 mieści się na piętrze w nowym budynku (tylko 2 apartamenty)Mieszkanie wykończone i wyposażone w wysokim standardzie do zamieszkania od zaraz.Składa się z :- wyposażonej kuchni z jadalnią(lodówko-zamrażalka, zmywarka, płyta indukcyjna z piekarnikiem i okapem ,garnki, zastawa stołowa),- 2 odrębne pokoje w pełni wyposażone ,- łazienka z kabiną i WC ,pralka .- przedpokoju z szafą zabudowaną,- prywatne miejsce parkingowe ,- duży taras,- szybki internet- światłowód. -miejsce parkingowe obok budynku.Koszt najmu:Cena najmu: 2500 zł .Dodatkowo płatne media (prąd ,woda, gaz wg zużycia, śmieci)Ogrzewanie podłogowe gazowe (niskie koszty),budynek nowy bardzo mocno ocieplony .Kaucja w wysokości 3000 zł.Cena najmu nie uwzględnia opłaty dla biura nieruchomości.Właściciel nie akceptuje zwierząt. Lokalizacja:Bardzo dobra lokalizacja ,cicha i spokojna okolica. W pobliżu pełna infrastruktura (sklepy, szkoła, uczelnie wyższa, przystanki komunikacji miejskiej, park, trasy rowerowe)Dogodny dojazd:Katowice -15 min.Dąbrowa Górnicza-11 min. SERDECZNIE ZAPRASZAMY DO OGLĄDANIA!Agent prowadzący Ania -tel.508147893 BLUE HOME NIERUCHOMOŚCI41-214 Sosnowiec ul Dietla 15 Aw razie pytańprosimy o kontakt z Biuremtel.508147893 Przedstawiona propozycja nie jest ofertą handlową w rozumieniu prawa, lecz ma charakter informacyjny. Jeśli żadna z przedstawionych ofert nie zainteresowała państwa prosimy o przesłanie informacji dotyczącej poszukiwanej przez państwa nieruchomości.",50 m²,1 zł/miesiąc,2,4 000 zł,1/1,apartamentowiec,,balkon,Obsługa zdalnaFilm,do zamieszkania,biuro nieruchomości,brak informacji,brak informacji,internet,brak informacji,brak informacji,plastikowe,nie,brak informacji,2022,inny,oddzielna kuchnia
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-po-remoncie-parking-wolne-ID4p70E,Nowe mieszkanie po remoncie| parking| Wolne,"Piekary Śląskie, śląskie",1 490 zł,"Oferujemy do wynajęcia nowe, 2-pokojowe mieszkanie w odnowionej kamienicy, położone przy ulicy Purkopa. Mieszkanie nowe i czeka na swojego pierwszego najemcę. Posiada powierzchnię 45,99m2 i znajduje się na parterze. Dodatkowym atutem możliwość korzystania z parkingu na terenie posesji.Pomieszczenia:- kuchnia oddzielna- pokój 1- pokój 2- przedpokój- łazienkaMieszkanie aktualnie jest wyposażone w nowe meble oraz podstawowe urządzenia. Jedyną przestrzenią, która jeszcze oczekuje na meble, są dwie sypialnia, która zostanie doposażona przed zamieszkaniem nowego najemcy. Całe mieszkanie jest nowocześnie urządzone i gotowe do zamieszkania.Opłaty:1490stała opłata comiesięczna370 zł (czynsz comiesięczny)prąd i gaz płatny wg zużycia.Zachęcamy do kontaktu i umówienia się na prezentację mieszkania. Ta oferta stanowi doskonałą okazję dla osób poszukujących nowoczesnego, umeblowanego mieszkania.::LINK DO STRONY ::KONTAKT DO AGENTA Krzysztof Plutecki601 782 882601 782 882","45,99 m²",,2,,1/2,kamienica,,,Obsługa zdalnaZapytaj,,biuro nieruchomości,brak informacji,meble,brak informacji,brak informacji,brak informacji,plastikowe,nie,brak informacji,brak informacji,cegła,oddzielna kuchnia
https://www.otodom.pl/pl/oferta/kawalerka-w-sosnowcu-pogon-ID4oXMs,Kawalerka w Sosnowcu ( Pogoń),"ul. Mariacka 12, Pogoń, Sosnowiec, śląskie",1 100 zł,"BEZ POŚREDNIKÓW  Mieszkanie - Kawalerka Metraż: 26 m2  Opłaty Cena najmu: 1100 zł / miesiąc Opłaty administracyjne, media:około 650zł (eksploatacja, wywóz śmieci, fundusz remontowy,CO,woda zimna i ciepła.)Kwota ta jest rozliczana co miesiąc wg faktur z administracji budynku i wskazań liczników wody. Licznik prądu jest przepisywany na najemcę.
Wynajmujący pobiera kaucję w wysokości 3000 zł.
Lokalizacja
Mieszkanie jest zlokalizowane w wyremontowanej kamienicy,wSosnowcu na Pogoni przy ulicy Mariackiej. Dogodne połączenie z centrum miasta( tramwaj)także szybki dojazdsamochodem.
Dogodny dojazd do trasy S1. Na podwórku można zaparkować samochód.
Opis
Mieszkanie jednopokojowe z balkonem, o funkcjonalnym układzie, po remoncie. Kuchnia w aneksie.Ścianyw jasnym kolorze. Mieszkanie jest w pełni umeblowane, z rozkładanąrogówkądo spania, kącikiemjadalnymi pojemną szafą. Okna wymienione na PCV, w oknach rolety izasłony. Mieszkanie ciepłe, dobrze naświetlone .
Centralne ogrzewanie i woda ciepła są podłączone do sieci miejskiej.  Kuchnia/ŁazienkaAneks kuchenny zabudowany na wymiar; szafki stojące i wiszące, lodówka z zamrażarką,kuchenka elektryczna trzy palnikowa z okapem, piekarnik elektryczny oraz pralka.
Pas sanitarny i podłoga w płytkach. Łazienka w glazurze pod sufit, duża kabina prysznicowa, umywalka na szafce oraz WC.  Wyposażenie / Umeblowanie Mieszkanie w pełni umeblowane, aneks kuchenny zabudowany, duża pojemna szafa, stół z dwoma krzesłami, rozkładana sofa rogowa, ława, komoda i regalik. W przedpokoju szafka na obuwie lustro i wieszak.  Budynek Pierwsze piętro w w dwupiętrowej kamienicy z cegły z domofonem (kamienica jest wyremontowana, ocieplona, elewacja odnowiona a klatki schodowe odświeżone). Parking dla mieszkańców w podwórku  Ogrzewanie Centralneogrzewaniei woda ciepła, miejskie.",26 m²,650 zł/miesiąc,1,3 000 zł,1/2,kamienica,,balkon,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, pralka",brak informacji,miejskie,domofon / wideofon,plastikowe,nie,brak informacji,brak informacji,cegła,tylko dla niepalących
https://www.otodom.pl/pl/oferta/mieszkanie-42m2-bedzin-syberka-od-01-03-2024-ID3Ukgg,"Mieszkanie 42m2, Będzin Syberka, od 01.03.2024","ul. Józefa Skalskiego 10, Będzin, będziński, śląskie",1 700 zł,"Mieszkanie jest po kapitalnym remoncie. Wyposażone w meble i urządzenia. Kuchnia jest połączona z dużym pokojem co daje dość sporą przestrzeń, jest wyposażona w urządzenia tj. lodówka, piekarnik i płyta gazowa. W dużym pokoju znajduje się: pojemna szafa, komoda, rogówka, regał oraz stół z krzesłami. W przedpokoju również znajduje się szafa pod zabudowę gdzie w zasadzie można pomieścić większość rzeczy. Na wyposażeniu łazienki jest kabina prysznicowa, geberit, junkers, pralka i itd.

Mieszkanie ma bardzo dobrą lokalizację – znajduje się na zadbanym zielonym osiedlu, z okna można podziwiać piękne widoki (zdjęcia). W odległości ok 700m jest centrum handlowe M1 w Czeladzi, 400 m od bloku znajduje się też sklep meblowy Black Red White. Osiedle jest położone przy trasie DK-86 Katowice – Warszawa (stara Gierkówka), do Katowic jest ok 12 km.

Warunki najmu: 1700 zł + 700 zł  (czynsz, woda, CO, śmieci) płatny do 5 dnia miesiąca (do uzgodnienia) + opłaty za energię, gaz, ewentualnie internet/kablówkę z UPC.

Kaucja w wysokości 2500 zł.

Okres najmu do uzgodnienia, minimum 1 rok.

Cena najmu do lekkiej negocjacji.

Mieszkanie wolne, do wynajęcia od 01.03.2024

Zdjęcia aktualne z dn. 31.01.2024r.

Wymiary małego pokoju: 185x325.",42 m²,700 zł/miesiąc,2,2 500 zł,6/10,blok,,balkon,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,brak informacji,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,domofon / wideofon,plastikowe,tak,brak informacji,brak informacji,wielka płyta,piwnica
https://www.otodom.pl/pl/oferta/wynajme-kawalerke-na-sielcu-ID4msYQ,Wynajmę kawalerkę na Sielcu,"Sielec, Sosnowiec, śląskie",1 300 zł,"Wynajmę kawalerkę w klimatycznej,odrestaurowanej kamienicy w centrum miasta.Mieszkanie jest ciepłe,przytulne i wygodne. Składa się z przestronnej kuchni, pokoju, łazienki i werandy z osobnym wejściem. Ponieważ wysokość sufitu jest ponad 3 metry, w pokoju zostało wybudowane piętrowe łóżko nad szafą, które może służyć jako sypialnia.Pokój jest w pełni umeblowany. Mieszkanie posiada pojemne szafki do przechowywania rzeczy,umiejscowione na wysokości sufitu, dzięki którym oszczędza się dużo miejsca.Mieszkanie zostało odświeżone w zeszłym roku, a w kuchni zakupione nowe mebli z IKEA, piękna funkcjonalna wyspa, a także wymieniony piekarnik, pięć i akcesoria hydrauliczne. W dużej łazience są wszystkie niezbędne akcesoria, wanna, WC, bidet, umywalka i dużo miejsca na własną aranżacje.Mieszkanie jest oszczędne, posiada ogrzewanie gazowe Czynsz wynosi okk. 300zl/ os.Do tego są opłaty wg własnego użycia, gazu i prądu.
Dostepnosc najpozniej od 1.04.2024
Zapraszam do kontaktu 510900799.",37 m²,,1,2 600 zł,parter/3,kamienica,,taras,Obsługa zdalnaZapytaj,,prywatny,brak informacji,"lodówka, meble, piekarnik, kuchenka, pralka",brak informacji,gazowe,brak informacji,plastikowe,nie,brak informacji,1912,cegła,brak informacji
https://www.otodom.pl/pl/oferta/zostan-pierwszym-najemca-mieszkania-w-sosnowcu-ID4p427,Zostań pierwszym Najemcą mieszkania w Sosnowcu!,"ul. Bohaterów Monte Cassino, Zagórze Południe, Sosnowiec, śląskie",1 500 zł,"Mieszkanie do wynajęcia w dzielnicy Zagórze przy ul. Bohaterów Monte Cassino. Oferujemy do wynajęcia mieszkanie zlokalizowane w Sosnowcu w dzielnicy Zagórze przy ul. Bohaterów Monte Cassino.Nieruchomość o powierzchni użytkowej 33m2 składa się z przestronnego pokoju, sypialni we wnęce, widnej kuchni, łazienki i wc oraz przedpokoju.  Mieszkanie jest w bardzo dobrym stanie technicznym, świeżo po remoncie. Mieszkanie po zakończeniu prac remontowych nie było zamieszkałe i jest w pełni wyposażone. Lokal znajduje się na 10 piętrze w 10-piętrowym bloku. Wejście do klatki jest zabezpieczone domofonem. Blok jest wyposażony w 2 windy, w tym jedna towarowa. Koło bloku znajduje się duży parking dla mieszkańców.Preferowana umowa w formie najmu okazjonalnego podpisana na rok. DODATKOWE INFORMACJEczynsz najmu: 1500zł + 548,21zł czynsz do spółdzielni + śmieci + media wg zużycia czyli woda, prąd, gazkaucja: 3000złogrzewanie: miejskie, bez podzielnikówciepła woda: z sieci miejskiejliczniki prądu i gazu: przepisane na NajemcęBiuro nieruchomości pobiera prowizję.LOKALIZACJA Osiedle jest bardzo korzystnie zlokalizowane. W pełni wyposażone w infrastrukturę techniczną oraz społeczną. W bezpośrednim sąsiedztwie osiedla znajdują się przystanki komunikacji publicznej, sklepy, szkoły, przedszkole, przychodnia, basen, stadion, lodowisko itp.Szybki i łatwy dojazd do centrum oraz miast ościennych.Serdecznie zapraszamy do umówienia się i obejrzenia mieszkania!KONTAKT:Cztery Kąty Nieruchomości ul. Wspólna 13, Sosnowiectel. 504 404 944",33 m²,"548,21 zł/miesiąc",1,3 000 zł,10/10,blok,,,Obsługa zdalnaZapytaj,do zamieszkania,biuro nieruchomości,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,domofon / wideofon,plastikowe,tak,brak informacji,brak informacji,brak informacji,tylko dla niepalących
